R,index,pNoInt
2531,zwindow_2-0_h_0-2_Bz,0.5576924919699999
2531,zwindow_2-0_sl_B,0.1799492742
2531,zwindow_2-0_sl_Bx,0.139818219187
2531,zwindow_2-0_sl_Bxz,-0.25570577133999994
2531,zwindow_2-0_sl_Bz,0.42788692888
2531,zwindow_2-1_h_0--1_B,0.074290113893
2531,zwindow_2-1_h_0--1_Bx,0.25072361568999996
2531,zwindow_2-1_h_0--1_Bxz,0.32257750783
2531,zwindow_2-1_h_0--1_Bz,-0.28290291605999995
2531,zwindow_2-1_h_0--2_B,-0.062717131895
2531,zwindow_2-1_h_0--2_Bx,0.2680109927
2531,zwindow_2-1_h_0--2_Bxz,0.5180477774000001
2531,zwindow_2-1_h_0--2_Bz,-0.3743966561900001
2531,zwindow_2-1_h_0-0_B,0.05254474341600001
2531,zwindow_2-1_h_0-0_Bx,0.23260520477
2531,zwindow_2-1_h_0-0_Bxz,0.31276362123
2531,zwindow_2-1_h_0-0_Bz,-0.41180535406
2531,zwindow_2-1_h_0-1_B,0.0722660857217
2531,zwindow_2-1_h_0-1_Bx,0.16945724814
2531,zwindow_2-1_h_0-1_Bxz,0.3883398637599999
2531,zwindow_2-1_h_0-1_Bz,-0.46571612005999996
2531,zwindow_2-1_h_0-2_B,0.06310338040340001
2531,zwindow_2-1_h_0-2_Bx,0.15468911399
2531,zwindow_2-1_h_0-2_Bxz,0.8550756877499999
2531,zwindow_2-1_h_0-2_Bz,-0.5672767141899999
2531,zwindow_2-1_sl_B,0.08064528678800001
2531,zwindow_2-1_sl_Bx,0.26443759798999994
2531,zwindow_2-1_sl_Bxz,0.27548899945000005
2531,zwindow_2-1_sl_Bz,-0.2785493125
2532,xwindow_0-0_h_0--1_B,0.18422685812
2532,xwindow_0-0_h_0--1_Bx,0.035007347103419996
2532,xwindow_0-0_h_0--1_Bxz,-0.037380156023886994
2532,xwindow_0-0_h_0--1_Bz,-0.39389814315000005
2532,xwindow_0-0_h_0--2_B,-0.0189577258415
