runs,blockType,uStar,z0,disp,id,A,C,WS,delT,xPos,zPos,uStarNorm,uStar_2,z0_2,u10_2,uScaling
3222,Bx,0.5791474619408767,0.6164576092449569,0.0,2.0,45.0,3.0,4.0,5.0,0.5,2.5,0.14478686548521918,0.5583980434774993,0.366,4.50491985057788,1.12622996264447
3222,Bxz,0.4707263141344131,0.5328171473596943,0.05642823997868693,1.0,45.0,3.0,4.0,5.0,0.5,0.5,0.11768157853360328,0.458610554378482,0.366,3.6998764845912286,0.9249691211478072
3222,Bz,0.5825455644563394,0.6499136713393989,0.06432511041437762,2.0,45.0,3.0,4.0,5.0,2.5,0.5,0.14563639111408486,0.5596981351647944,0.366,4.515408441858023,1.1288521104645057
3230,B,0.2248753086762925,0.4649437595935401,0.0,2.5,0.0,3.0,2.0,0.0,2.5,2.5,0.11243765433814625,0.22127341462971947,0.366,1.7851405634639195,0.8925702817319597
3230,Bx,0.2795590902435702,0.8814223821202029,0.0,2.5,0.0,3.0,2.0,0.0,0.5,2.5,0.1397795451217851,0.2629146388278486,0.366,2.1210843936469037,1.0605421968234519
3230,Bxz,0.24388886583173747,0.4067467922794405,0.0,0.5,0.0,3.0,2.0,0.0,0.5,0.5,0.12194443291586873,0.24266241735243643,0.366,1.957698014327399,0.9788490071636995
3230,Bz,0.30363442443223043,0.7557781796024428,0.0,0.5,0.0,3.0,2.0,0.0,2.5,0.5,0.15181721221611522,0.28873304332846916,0.366,2.3293763894797683,1.1646881947398842
3231,B,0.22205296579395212,0.4357351536469739,0.0,2.5,0.0,3.0,2.0,5.0,2.5,2.5,0.11102648289697606,0.21957551003657932,0.366,1.771442585479631,0.8857212927398155
3231,Bx,0.2766150034295529,0.8318636104570906,0.0,2.5,0.0,3.0,2.0,5.0,0.5,2.5,0.13830750171477646,0.2613013799929308,0.366,2.1080693019315366,1.0540346509657683
3231,Bxz,0.24496107109509463,0.40627917615505327,0.0,0.5,0.0,3.0,2.0,5.0,0.5,0.5,0.12248053554754731,0.24359174238913678,0.366,1.9651954166811005,0.9825977083405503
3231,Bz,0.3070483848189468,0.785000078756591,0.0,0.5,0.0,3.0,2.0,5.0,2.5,0.5,0.1535241924094734,0.29118556998943945,0.366,2.3491623399646064,1.1745811699823032
3232,B,0.23048033761258652,0.4359709365227006,0.0,2.5,0.0,3.0,2.0,5.0,2.5,2.5,0.11524016880629326,0.22784198057348154,0.366,1.8381329825017845,0.9190664912508922
3232,Bx,0.29102308038553626,0.8732005582708117,0.0,2.5,0.0,3.0,2.0,5.0,0.5,2.5,0.14551154019276813,0.273855230079574,0.366,2.2093484684993485,1.1046742342496743
3232,Bxz,0.2661702488529072,0.43065392492113896,0.0,0.5,0.0,3.0,2.0,5.0,0.5,0.5,0.1330851244264536,0.2636425784129499,0.366,2.126957103132994,1.063478551566497
3232,Bz,0.3300110300792928,0.7943470019637596,0.0,0.5,0.0,3.0,2.0,5.0,2.5,0.5,0.1650055150396464,0.31269255898783144,0.366,2.5226716543268806,1.2613358271634403
3240,B,0.49308640807297266,0.4556492623445202,0.0,2.5,0.0,3.0,4.0,0.0,2.5,2.5,0.12327160201824316,0.4859371548953572,0.366,3.920335969639985,0.9800839924099962
3240,Bx,0.6186354120192358,0.8782876303131594,0.0,2.5,0.0,3.0,4.0,0.0,0.5,2.5,0.15465885300480894,0.5819523648122877,0.366,4.694946178548449,1.1737365446371122
3240,Bxz,0.4738833213029646,0.4161956184862947,0.0,0.5,0.0,3.0,4.0,0.0,0.5,0.5,0.11847083032574116,0.47069026354943627,0.366,3.7973304822709895,0.9493326205677474
3240,Bz,0.5944209051913432,0.787443387248592,0.0,0.5,0.0,3.0,4.0,0.0,2.5,0.5,0.1486052262978358,0.5636098197994339,0.366,4.546966263318223,1.1367415658295557
3241,B,0.4976320840608302,0.42299942227500015,0.0,2.5,0.0,3.0,4.0,5.0,2.5,2.5,0.12440802101520755,0.4932048249807798,0.366,3.9789684659706968,0.9947421164926742
3241,Bx,0.6221024303723449,0.8282833192388022,0.0,2.5,0.0,3.0,4.0,5.0,0.5,2.5,0.15552560759308623,0.5877326225128294,0.366,4.741578859233467,1.1853947148083668
3241,Bxz,0.46070216912319945,0.4537737323251266,0.0,0.5,0.0,3.0,4.0,5.0,0.5,0.5,0.11517554228079986,0.45467350849376953,0.366,3.668114059264264,0.917028514816066
3241,Bz,0.5642541567389915,0.8082102356055432,0.0,0.5,0.0,3.0,4.0,5.0,2.5,0.5,0.14106353918474787,0.533999610826685,0.366,4.308083588603997,1.0770208971509994
3242,B,0.49428082401552254,0.42056550351502286,0.0,2.5,0.0,3.0,4.0,5.0,2.5,2.5,0.12357020600388063,0.49016509632595995,0.366,3.954445217514831,0.9886113043787077
3242,Bx,0.6349438853978484,0.871247932128864,0.0,2.5,0.0,3.0,4.0,5.0,0.5,2.5,0.1587359713494621,0.5978232942492772,0.366,4.8229861419812625,1.2057465354953156
3242,Bxz,0.45496362721917327,0.3985711707550642,0.0,0.5,0.0,3.0,4.0,5.0,0.5,0.5,0.11374090680479332,0.45316424236952735,0.366,3.6559379368685603,0.9139844842171401
3242,Bz,0.5735222340943379,0.7767212173537343,0.0,0.5,0.0,3.0,4.0,5.0,2.5,0.5,0.14338055852358447,0.54430923206425,0.366,4.391257263561397,1.0978143158903493
