runs,xPosInd,zPosInd,uStar,z0,disp,id,A,C,WS,delT,xPos,zPos,blockType,uStarNorm,uStar_2,z0_2,u10_2,uScaling
2531,2.0,1.0,0.2800643390505961,0.9456032899558321,0.0,1.0,45.0,2.0,2.0,5.0,2.0,1.0,Bz,0.14003216952529804,0.2620606783294414,0.366,2.1141950005950836,1.0570975002975418
2531,2.0,2.0,0.2736750853038871,1.0302718045045898,0.0,0.0,45.0,2.0,2.0,5.0,2.0,2.0,B,0.13683754265194356,0.25454953679031295,0.366,2.0535982792860423,1.0267991396430212
2531,2.0,3.0,0.3302365770270403,1.0366947510559892,0.32238290099109157,3.0,45.0,2.0,2.0,5.0,2.0,3.0,B,0.16511828851352015,0.30702467978253906,0.366,2.4769455959338624,1.2384727979669312
2531,3.0,0.0,0.33793847034160457,1.1618558539394905,0.0,3.0,45.0,2.0,2.0,5.0,3.0,0.0,Bz,0.16896923517080228,0.3116884091786099,0.366,2.514570597273843,1.2572852986369214
2531,3.0,1.0,0.36846950088405367,1.173398762077724,0.03915639864205009,2.0,45.0,2.0,2.0,5.0,3.0,1.0,Bz,0.18423475044202683,0.33961278265570183,0.366,2.73985266239084,1.36992633119542
2531,3.0,2.0,0.3242658626705062,1.2779534206705354,0.0,1.0,45.0,2.0,2.0,5.0,3.0,2.0,B,0.1621329313352531,0.2970905615430825,0.366,2.396801320756582,1.198400660378291
2531,3.0,3.0,0.2938170607065625,1.208588873122454,0.0,0.0,45.0,2.0,2.0,5.0,3.0,3.0,B,0.14690853035328125,0.2702471884327843,0.366,2.1802403105711594,1.0901201552855797
2532,0.0,0.0,0.2793235300674488,1.0146641072639215,0.0,0.0,45.0,2.0,2.0,5.0,0.0,0.0,Bxz,0.1396617650337244,0.2600810064500222,0.366,2.0982238430106355,1.0491119215053177
2532,0.0,1.0,0.33704123330598235,1.041992451625507,0.2859084820585663,3.0,45.0,2.0,2.0,5.0,0.0,1.0,Bxz,0.16852061665299117,0.31323926134184804,0.366,2.527082218288798,1.263541109144399
2532,0.0,2.0,0.3625920226248673,1.1992656804425457,0.0,2.0,45.0,2.0,2.0,5.0,0.0,2.0,Bx,0.18129601131243364,0.3336858898242665,0.366,2.6920369913288464,1.3460184956644232
2532,0.0,3.0,0.30263431499706017,1.1587757717030727,0.0,1.0,45.0,2.0,2.0,5.0,0.0,3.0,Bx,0.15131715749853009,0.27917844739122893,0.366,2.2522939401325783,1.1261469700662892
2532,1.0,0.0,0.322510243737477,1.2996579978138185,0.0,1.0,45.0,2.0,2.0,5.0,1.0,0.0,Bxz,0.1612551218687385,0.29513393860822396,0.366,2.381016112333488,1.190508056166744
2532,1.0,1.0,0.2942880938720344,1.1254213606709849,0.0,0.0,45.0,2.0,2.0,5.0,1.0,1.0,Bxz,0.1471440469360172,0.27203470141586045,0.366,2.1946612112435124,1.0973306056217562
2532,1.0,2.0,0.34017791374105266,1.1013558386136681,0.0,3.0,45.0,2.0,2.0,5.0,1.0,2.0,Bx,0.17008895687052633,0.31493059467156076,0.366,2.540727182091888,1.270363591045944
