x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	vw-reynolds-stress	uw-reynolds-stress	uv-reynolds-stress
-928.00000000	31.18114286	0.00000000	5.29725897	0.00000000	0.00000000	10.10194294	2.52548574	6.46524348	0.00000000	0.00000000	-0.87495488
-928.00000000	31.36242857	0.00000000	5.30387186	0.00000000	0.00000000	10.12718041	2.53179510	6.48139546	0.00000000	0.00000000	-0.87495488
-928.00000000	31.54371429	0.00000000	5.31044663	0.00000000	0.00000000	10.15230363	2.53807591	6.49747432	0.00000000	0.00000000	-0.87495488
-928.00000000	31.72500000	0.00000000	5.31698373	0.00000000	0.00000000	10.17731374	2.54432843	6.51348079	0.00000000	0.00000000	-0.87495488
-928.00000000	31.90628571	0.00000000	5.32348357	0.00000000	0.00000000	10.20221184	2.55055296	6.52941558	0.00000000	0.00000000	-0.87495488
-928.00000000	32.08757143	0.00000000	5.32994659	0.00000000	0.00000000	10.22699903	2.55674976	6.54527938	0.00000000	0.00000000	-0.87495488
-928.00000000	32.26885714	0.00000000	5.33637320	0.00000000	0.00000000	10.25167640	2.56291910	6.56107290	0.00000000	0.00000000	-0.87495488
-928.00000000	32.45014286	0.00000000	5.34276380	0.00000000	0.00000000	10.27624501	2.56906125	6.57679681	0.00000000	0.00000000	-0.87495488
-928.00000000	32.63142857	0.00000000	5.34911880	0.00000000	0.00000000	10.30070591	2.57517648	6.59245178	0.00000000	0.00000000	-0.87495488
-928.00000000	32.81271429	0.00000000	5.35543860	0.00000000	0.00000000	10.32506012	2.58126503	6.60803848	0.00000000	0.00000000	-0.87495488
-928.00000000	32.99400000	0.00000000	5.36172357	0.00000000	0.00000000	10.34930867	2.58732717	6.62355755	0.00000000	0.00000000	-0.87495488
-928.00000000	33.17528571	0.00000000	5.36797410	0.00000000	0.00000000	10.37345255	2.59336314	6.63900963	0.00000000	0.00000000	-0.87495488
-928.00000000	33.35657143	0.00000000	5.37419058	0.00000000	0.00000000	10.39749277	2.59937319	6.65439537	0.00000000	0.00000000	-0.87495488
-928.00000000	33.53785714	0.00000000	5.38037335	0.00000000	0.00000000	10.42143028	2.60535757	6.66971538	0.00000000	0.00000000	-0.87495488
-928.00000000	33.71914286	0.00000000	5.38652280	0.00000000	0.00000000	10.44526604	2.61131651	6.68497027	0.00000000	0.00000000	-0.87495488
-928.00000000	33.90042857	0.00000000	5.39263928	0.00000000	0.00000000	10.46900101	2.61725025	6.70016065	0.00000000	0.00000000	-0.87495488
-928.00000000	34.08171429	0.00000000	5.39872313	0.00000000	0.00000000	10.49263612	2.62315903	6.71528711	0.00000000	0.00000000	-0.87495488
-928.00000000	34.26300000	0.00000000	5.40477471	0.00000000	0.00000000	10.51617227	2.62904307	6.73035025	0.00000000	0.00000000	-0.87495488
-928.00000000	34.44428571	0.00000000	5.41079435	0.00000000	0.00000000	10.53961039	2.63490260	6.74535065	0.00000000	0.00000000	-0.87495488
-928.00000000	34.62557143	0.00000000	5.41678240	0.00000000	0.00000000	10.56295135	2.64073784	6.76028886	0.00000000	0.00000000	-0.87495488
-928.00000000	34.80685714	0.00000000	5.42273917	0.00000000	0.00000000	10.58619604	2.64654901	6.77516547	0.00000000	0.00000000	-0.87495488
-928.00000000	34.98814286	0.00000000	5.42866500	0.00000000	0.00000000	10.60934533	2.65233633	6.78998101	0.00000000	0.00000000	-0.87495488
-928.00000000	35.16942857	0.00000000	5.43456021	0.00000000	0.00000000	10.63240007	2.65810002	6.80473605	0.00000000	0.00000000	-0.87495488
-928.00000000	35.35071429	0.00000000	5.44042510	0.00000000	0.00000000	10.65536111	2.66384028	6.81943111	0.00000000	0.00000000	-0.87495488
-928.00000000	35.53200000	0.00000000	5.44626000	0.00000000	0.00000000	10.67822927	2.66955732	6.83406674	0.00000000	0.00000000	-0.87495488
-928.00000000	35.71328571	0.00000000	5.45206520	0.00000000	0.00000000	10.70100539	2.67525135	6.84864345	0.00000000	0.00000000	-0.87495488
-928.00000000	35.89457143	0.00000000	5.45784101	0.00000000	0.00000000	10.72369026	2.68092256	6.86316177	0.00000000	0.00000000	-0.87495488
-928.00000000	36.07585714	0.00000000	5.46358772	0.00000000	0.00000000	10.74628469	2.68657117	6.87762220	0.00000000	0.00000000	-0.87495488
-928.00000000	36.25714286	0.00000000	5.46930563	0.00000000	0.00000000	10.76878946	2.69219736	6.89202525	0.00000000	0.00000000	-0.87495488
-928.00000000	36.43842857	0.00000000	5.47499502	0.00000000	0.00000000	10.79120535	2.69780134	6.90637142	0.00000000	0.00000000	-0.87495488
-928.00000000	36.61971429	0.00000000	5.48065617	0.00000000	0.00000000	10.81353313	2.70338328	6.92066120	0.00000000	0.00000000	-0.87495488
-928.00000000	36.80100000	0.00000000	5.48628936	0.00000000	0.00000000	10.83577355	2.70894339	6.93489507	0.00000000	0.00000000	-0.87495488
-928.00000000	36.98228571	0.00000000	5.49189488	0.00000000	0.00000000	10.85792736	2.71448184	6.94907351	0.00000000	0.00000000	-0.87495488
-928.00000000	37.16357143	0.00000000	5.49747298	0.00000000	0.00000000	10.87999530	2.71999882	6.96319699	0.00000000	0.00000000	-0.87495488
-928.00000000	37.34485714	0.00000000	5.50302394	0.00000000	0.00000000	10.90197809	2.72549452	6.97726598	0.00000000	0.00000000	-0.87495488
-928.00000000	37.52614286	0.00000000	5.50854802	0.00000000	0.00000000	10.92387645	2.73096911	6.99128093	0.00000000	0.00000000	-0.87495488
-928.00000000	37.70742857	0.00000000	5.51404547	0.00000000	0.00000000	10.94569109	2.73642277	7.00524230	0.00000000	0.00000000	-0.87495488
-928.00000000	37.88871429	0.00000000	5.51951656	0.00000000	0.00000000	10.96742270	2.74185568	7.01915053	0.00000000	0.00000000	-0.87495488
-928.00000000	38.07000000	0.00000000	5.52496153	0.00000000	0.00000000	10.98907198	2.74726800	7.03300607	0.00000000	0.00000000	-0.87495488
-928.00000000	38.25128571	0.00000000	5.53038064	0.00000000	0.00000000	11.01063961	2.75265990	7.04680935	0.00000000	0.00000000	-0.87495488
-928.00000000	38.43257143	0.00000000	5.53577412	0.00000000	0.00000000	11.03212626	2.75803156	7.06056080	0.00000000	0.00000000	-0.87495488
-928.00000000	38.61385714	0.00000000	5.54114223	0.00000000	0.00000000	11.05353259	2.76338315	7.07426086	0.00000000	0.00000000	-0.87495488
-928.00000000	38.79514286	0.00000000	5.54648519	0.00000000	0.00000000	11.07485926	2.76871481	7.08790992	0.00000000	0.00000000	-0.87495488
-928.00000000	38.97642857	0.00000000	5.55180324	0.00000000	0.00000000	11.09610691	2.77402673	7.10150842	0.00000000	0.00000000	-0.87495488
-928.00000000	39.15771429	0.00000000	5.55709661	0.00000000	0.00000000	11.11727619	2.77931905	7.11505676	0.00000000	0.00000000	-0.87495488
-928.00000000	39.33900000	0.00000000	5.56236553	0.00000000	0.00000000	11.13836772	2.78459193	7.12855534	0.00000000	0.00000000	-0.87495488
-928.00000000	39.52028571	0.00000000	5.56761023	0.00000000	0.00000000	11.15938213	2.78984553	7.14200456	0.00000000	0.00000000	-0.87495488
-928.00000000	39.70157143	0.00000000	5.57283093	0.00000000	0.00000000	11.18032003	2.79508001	7.15540482	0.00000000	0.00000000	-0.87495488
-928.00000000	39.88285714	0.00000000	5.57802784	0.00000000	0.00000000	11.20118204	2.80029551	7.16875650	0.00000000	0.00000000	-0.87495488
-928.00000000	40.06414286	0.00000000	5.58320118	0.00000000	0.00000000	11.22196874	2.80549219	7.18205999	0.00000000	0.00000000	-0.87495488
-928.00000000	40.24542857	0.00000000	5.58835116	0.00000000	0.00000000	11.24268074	2.81067018	7.19531567	0.00000000	0.00000000	-0.87495488
-928.00000000	40.42671429	0.00000000	5.59347800	0.00000000	0.00000000	11.26331862	2.81582965	7.20852392	0.00000000	0.00000000	-0.87495488
-928.00000000	40.60800000	0.00000000	5.59858190	0.00000000	0.00000000	11.28388295	2.82097074	7.22168509	0.00000000	0.00000000	-0.87495488
-928.00000000	40.78928571	0.00000000	5.60366307	0.00000000	0.00000000	11.30437432	2.82609358	7.23479957	0.00000000	0.00000000	-0.87495488
-928.00000000	40.97057143	0.00000000	5.60872170	0.00000000	0.00000000	11.32479328	2.83119832	7.24786770	0.00000000	0.00000000	-0.87495488
-928.00000000	41.15185714	0.00000000	5.61375800	0.00000000	0.00000000	11.34514039	2.83628510	7.26088985	0.00000000	0.00000000	-0.87495488
-928.00000000	41.33314286	0.00000000	5.61877216	0.00000000	0.00000000	11.36541621	2.84135405	7.27386638	0.00000000	0.00000000	-0.87495488
-928.00000000	41.51442857	0.00000000	5.62376438	0.00000000	0.00000000	11.38562128	2.84640532	7.28679762	0.00000000	0.00000000	-0.87495488
-928.00000000	41.69571429	0.00000000	5.62873484	0.00000000	0.00000000	11.40575613	2.85143903	7.29968392	0.00000000	0.00000000	-0.87495488
-928.00000000	41.87700000	0.00000000	5.63368374	0.00000000	0.00000000	11.42582130	2.85645533	7.31252563	0.00000000	0.00000000	-0.87495488
-928.00000000	42.05828571	0.00000000	5.63861127	0.00000000	0.00000000	11.44581732	2.86145433	7.32532309	0.00000000	0.00000000	-0.87495488
-928.00000000	42.23957143	0.00000000	5.64351759	0.00000000	0.00000000	11.46574470	2.86643618	7.33807661	0.00000000	0.00000000	-0.87495488
-928.00000000	42.42085714	0.00000000	5.64840291	0.00000000	0.00000000	11.48560396	2.87140099	7.35078654	0.00000000	0.00000000	-0.87495488
-928.00000000	42.60214286	0.00000000	5.65326740	0.00000000	0.00000000	11.50539561	2.87634890	7.36345319	0.00000000	0.00000000	-0.87495488
-928.00000000	42.78342857	0.00000000	5.65811122	0.00000000	0.00000000	11.52512014	2.88128004	7.37607689	0.00000000	0.00000000	-0.87495488
